Package	Assay
sapFinder	MassSpectrometry
SC3	SingleCell
SC3	TranscriptomicSeq
SCAN.UPC	TranscriptomicSeq
SCAN.UPC	Microarray
scater	SingleCell
scater	TranscriptomicSeq
scDD	SingleCell
scDD	TranscriptomicSeq
scFeatureFilter	SingleCell
scFeatureFilter	TranscriptomicSeq
scfind	SingleCell
scfind	TranscriptomicSeq
scmap	SingleCell
scmap	TranscriptomicSeq
SCnorm	SingleCell
SCnorm	TranscriptomicSeq
scone	SingleCell
scone	TranscriptomicSeq
Sconify	SingleCell
Sconify	FlowCytometry
scPipe	SingleCell
scPipe	TranscriptomicSeq
scran	SingleCell
scran	TranscriptomicSeq
scruff	SingleCell
scruff	TranscriptomicSeq
semisup	Microarray
semisup	GenomicSeq
seqplots	TranscriptomicSeq
seqplots	EpigenomicSeq
slalom	SingleCell
slalom	TranscriptomicSeq
slingshot	SingleCell
slingshot	TranscriptomicSeq
splatter	SingleCell
splatter	TranscriptomicSeq
SSPA	TranscriptomicSeq
SSPA	Microarray
STAN	TranscriptomicSeq
STAN	Microarray
STAN	EpigenomicSeq
STROMA4	TranscriptomicSeq
STROMA4	Microarray
sva	TranscriptomicSeq
sva	Microarray
switchde	SingleCell
switchde	TranscriptomicSeq
systemPipeR	TranscriptomicSeq
systemPipeR	EpigenomicSeq
TCseq	TranscriptomicSeq
TCseq	EpigenomicSeq
TFEA.ChIP	TranscriptomicSeq
TFEA.ChIP	EpigenomicSeq
TimeSeriesExperiment	TranscriptomicSeq
TimeSeriesExperiment	Microbiome
transcriptogramer	TranscriptomicSeq
transcriptogramer	Microarray
TransView	TranscriptomicSeq
TransView	Microarray
TransView	EpigenomicSeq
uSORT	TranscriptomicSeq
uSORT	GenomicSeq
variancePartition	TranscriptomicSeq
variancePartition	Microarray
wiggleplotr	TranscriptomicSeq
wiggleplotr	EpigenomicSeq
zinbwave	SingleCell
zinbwave	TranscriptomicSeq
